id,user_id,category_id,jar_id,period,limit_amount,spent_amount,start_date,end_date,is_active,created_at,updated_at
17e56c6d-8405-4033-985c-e776cc4efcc8,72ea62e1-6e68-4797-8f11-4dc748a68682,,bce7f1c8-f1fd-4d61-8bff-2d5ed707ee9a,MONTHLY,10000000.00,7960000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
1e8e2b6e-6853-40a3-9a55-e4dfbfb22efd,72ea62e1-6e68-4797-8f11-4dc748a68682,,4f2a65bc-22cd-4beb-ae93-dc90fca42641,MONTHLY,3000000.00,1994000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
4dd154ee-1976-4040-b5b2-cc87b393d042,72ea62e1-6e68-4797-8f11-4dc748a68682,,2b28071a-e28a-4225-9446-8689ec9d0db0,MONTHLY,2000000.00,1064000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
7e4f8265-1bf6-4c54-b242-0184e3c46789,72ea62e1-6e68-4797-8f11-4dc748a68682,2c6ce9f3-6101-422c-8875-3be42499a63f,,MONTHLY,1000000.00,490000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
918cf567-a73d-4a57-a77c-484ffa9d2167,72ea62e1-6e68-4797-8f11-4dc748a68682,10701131-3011-4efa-b714-3753d66370fd,,MONTHLY,1000000.00,800000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
96b28879-089d-4af5-857f-3301a48cf46d,72ea62e1-6e68-4797-8f11-4dc748a68682,f7790789-1ec8-40b5-9459-88017ecbaa7e,,MONTHLY,500000.00,285000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
9c351d49-c8b1-48eb-877b-f46dd9d0dad7,72ea62e1-6e68-4797-8f11-4dc748a68682,,dcfcd7c5-a802-41fd-a1af-7a5909177d17,MONTHLY,3000000.00,2249000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
b1cde075-3184-449c-b1ff-a190131561a4,72ea62e1-6e68-4797-8f11-4dc748a68682,3b8371ae-0038-4c3c-8c6c-8d3bda22fb2f,,MONTHLY,2000000.00,1000000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
b22b64e9-5afe-48d9-b9f5-f9f16ec74ee8,72ea62e1-6e68-4797-8f11-4dc748a68682,,4b517a31-734c-4e45-8176-cf4f54fae895,MONTHLY,2000000.00,1566000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
bfa03904-f4ff-41e1-b58c-109f235b401b,72ea62e1-6e68-4797-8f11-4dc748a68682,5e3d2c7f-c151-44e3-929f-e8a43cca12f7,,MONTHLY,2000000.00,1830000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
e646ea82-3a5a-4124-aa15-8109558d66e4,72ea62e1-6e68-4797-8f11-4dc748a68682,584434fa-048f-47df-bf46-5cb3e1279370,,MONTHLY,300000.00,280000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
ea261aa9-f8bc-490a-bc5c-a98ec8f875c7,72ea62e1-6e68-4797-8f11-4dc748a68682,,84624fcd-4f8b-43d4-a491-81f7d5e50431,MONTHLY,3000000.00,1266000.00,2025-12-01,2025-12-31,true,2025-12-26 05:58:01.796196+00,2025-12-26 05:58:01.796196+00
f1bf85c9-249b-4d9f-88b8-761fd41d6297,72ea62e1-6e68-4797-8f11-4dc748a68682,25edcea1-b992-4ac6-baa6-4eed12ed671c,,WEEKLY,500000.00,220000.00,2025-12-06,2025-12-13,true,2025-12-06 08:59:14+00,2025-12-27 10:07:34.692863+00
