id,user_id,wallet_id,category_id,type,amount,note,occurred_at,created_at,updated_at
00e4c5a3-d355-4b2e-b5d1-24ad8c37c24a,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,5e3d2c7f-c151-44e3-929f-e8a43cca12f7,EXPENSE,30000.00,,2025-12-24 21:00:29.16+00,2025-12-24 14:00:46.708996+00,2025-12-24 14:00:46.708996+00
0463730f-abcc-4bb7-bd96-45bda30c4be5,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,2c6ce9f3-6101-422c-8875-3be42499a63f,EXPENSE,90000.00,,2025-12-25 22:12:10.292+00,2025-12-25 15:12:37.177034+00,2025-12-25 15:12:37.177034+00
04f9021a-5bb3-40c7-b633-ae5a84bf747a,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,3d1bf0c2-5960-4cb3-b421-8ad3b53a771f,INCOME,1000000.00,,2025-11-27 00:00:00+00,2025-11-27 00:57:44+00,2025-12-23 03:39:06.241128+00
0cb6233d-f226-453e-b485-95f3d3822067,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7790789-1ec8-40b5-9459-88017ecbaa7e,EXPENSE,100000.00,,2025-12-24 20:59:16.925+00,2025-12-24 13:59:37.032702+00,2025-12-24 13:59:37.032702+00
1125387c-1689-4177-be66-89074ea335b0,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,af35a921-c453-420e-8fc2-207376d838bc,EXPENSE,670000.00,,2025-12-17 19:30:07.928+00,2025-12-17 12:30:29.789902+00,2025-12-17 12:30:29.789902+00
14e1973e-c843-4cb0-83c8-04d992bd62ed,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,9e10f478-adcb-4711-b44f-91dc5c119512,INCOME,500000.00,,2025-12-24 20:23:39.215+00,2025-12-24 13:23:53.936357+00,2025-12-24 13:23:53.936357+00
1791a71c-25ad-4fa7-9717-c598413fff09,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,INCOME,13000000.00,,2025-11-12 00:00:00+00,2025-12-25 17:22:24.736419+00,2025-12-25 17:22:24.736419+00
27400b08-c006-447a-9358-74aa0457ca55,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,3b8371ae-0038-4c3c-8c6c-8d3bda22fb2f,EXPENSE,1000000.00,,2025-12-24 21:07:12.039+00,2025-12-24 14:07:31.230895+00,2025-12-24 14:07:31.230895+00
29c7e630-3050-4c58-9cfc-1b076b1182d3,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,3d1bf0c2-5960-4cb3-b421-8ad3b53a771f,INCOME,100000.00,,2025-12-04 23:54:42.966+00,2025-12-04 16:55:14.92581+00,2025-12-04 16:55:14.92581+00
38683f5b-4667-4656-8f67-f743609d610e,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,10000.00,,2025-12-25 22:14:11.811+00,2025-12-25 15:14:21.933194+00,2025-12-25 15:14:21.933194+00
